Array Element	Locus Identifier	Annotation
A_84_P845060	AT4G38500	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G28240.1); similar to Os06g0724300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058611.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO47423.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN61976.1); contains InterPro domain Protein of unknown function DUF616 (InterPro:IPR006852)
A_84_P304680	AT2G30600	BTB/POZ domain-containing protein
A_84_P576195	AT5G40750	similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT1G22000.1); contains InterPro domain Leucine-rich repeat 2 (InterPro:IPR013101); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)
A_84_P22675	AT1G30760	FAD-binding domain-containing protein
A_84_P132115	AT3G27750	similar to vacuolar sorting protein 9 domain-containing protein / VPS9 domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G09320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45867.1)
A_84_P18959	AT1G61670	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G10980.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN66485.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41520.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48876.1); contains InterPro domain Transmembrane receptor, eukaryota; (InterPro:IPR009637)"
A_84_P23472	AT5G40150	"peroxidase, putative"
A_84_P22639	AT5G17070	similar to unnamed protein product [Vitis vinifera] (GB:CAO62204.1); contains domain PTHR16487 (PTHR16487)
A_84_P16497	AT3G22860	TIF3C2 (eukaryotic translation initiation factor 3 subunit C2); translation initiation factor
A_84_P77679	AT2G28380	DRB2 (DSRNA-BINDING PROTEIN 2); double-stranded RNA binding
A_84_P138349	AT2G46730	"pseudogene, similar to 68 kDa protein, blastp match of 68% identity and 4.7e-17 P-value to GP|7271113|emb|CAB81547.1||AJ276420 68 kDa protein {Cicer arietinum}"
A_84_P838230	AT1G20970	adhesin-related
A_84_P19385	AT3G51310	vacuolar protein sorting-associated protein 35 family protein / VPS35 family protein
A_84_P790154	AT3G61780;AT5G28400;AT5G28320	"[AT3G61780, EMB1703 (EMBRYO DEFECTIVE 1703)];[AT5G28400, similar to EMB1703 (EMBRYO DEFECTIVE 1703) [Arabidopsis thaliana] (TAIR:AT3G61780.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G28320.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14379.1)];[AT5G28320, similar to EMB1703 (EMBRYO DEFECTIVE 1703) [Arabidopsis thaliana] (TAIR:AT3G61780.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G28400.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO14379.1)]"
A_84_P275860	AT1G10330	pentatricopeptide (PPR) repeat-containing protein
A_84_P13462	AT2G33580	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein
A_84_P752481	AT1G62590	pentatricopeptide (PPR) repeat-containing protein
A_84_P850374	AT1G34380	5'-3' exonuclease family protein
A_84_P811724	AT2G33830	dormancy/auxin associated family protein
A_84_P122612	AT4G29860	EMB2757/TAN (EMBRYO DEFECTIVE 2757); nucleotide binding
A_84_P10022	AT4G12130	aminomethyltransferase
A_84_P202428	AT5G64880	unknown protein
A_84_P16545	AT3G50830	COR413-PM2 (cold regulated 413 plasma membrane 2)
A_84_P17129	AT1G70500	"polygalacturonase, putative / pectinase, putative"
A_84_P786827	AT1G12980	ESR1 (ENHANCER OF SHOOT REGENERATION 1); DNA binding / transcription factor
A_84_P826948	AT3G02065	DEAD/DEAH box helicase family protein
A_84_P12751	AT3G47600	MYB94 (myb domain protein 94); DNA binding / transcription factor
A_84_P860349	AT5G12330	LRP1 (LATERAL ROOT PRIMORDIUM 1)
A_84_P293534	AT3G60260	phagocytosis and cell motility protein ELMO1-related
A_84_P819238	AT3G04310	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G33250.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO38748.1)
A_84_P580199	AT2G36490	DML1/ROS1 (REPRESSOR OF SILENCING1); DNA N-glycosylase/ DNA-(apurinic or apyrimidinic site) lyase/ protein binding
A_84_P112352	AT5G24710	similar to hypothetical protein OsI_003062 [Oryza sativa (indica cultivar-group)] (GB:EAY75215.1); similar to hypothetical protein OsJ_002759 [Oryza sativa (japonica cultivar-group)] (GB:EAZ12934.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45337.1); contains InterPro domain WD40 repeat-like (InterPro:IPR011046); contains InterPro domain WD40/YVTN repeat-like (InterPro:IPR015943); contains InterPro domain WD40 repeat (InterPro:IPR001680)
A_84_P533825	AT1G23935	apoptosis inhibitory protein 5 (API5)-related
A_84_P290344	AT2G02560	CAND1 (CULLIN-ASSOCIATED AND NEDDYLATION DISSOCIATED); binding
A_84_P79225	AT5G50110	methyltransferase-related
A_84_P22063	AT2G48010	RKF3 (RECEPTOR-LIKE KINASE IN IN FLOWERS 3); kinase
A_84_P94599	AT3G56290	similar to hypothetical protein [Vitis vinifera] (GB:CAN75527.1)
A_84_P17122	AT1G44970	"peroxidase, putative"
A_84_P212478	AT5G12290	similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABF96236.1); contains InterPro domain Nuclear control of ATP synthase 2 (InterPro:IPR013946)
A_84_P12363	AT1G79430	APL (ALTERED PHLOEM DEVELOPMENT); transcription factor
A_84_P113202	AT5G36820;AT5G36730	"[AT5G36820, F-box family protein];[AT5G36730, F-box family protein]"
A_84_P549062	AT2G18930	unknown protein
A_84_P20249	AT3G17080	self-incompatibility protein-related
A_84_P10527	AT1G49660	ATCXE5 (ARABIDOPSIS THALIANA CARBOXYESTERASE 5); carboxylesterase
A_84_P12294	AT1G50320	ATHX (THIOREDOXIN X); thiol-disulfide exchange intermediate
A_84_P824065	AT2G43770	transducin family protein / WD-40 repeat family protein
A_84_P507215	AT1G27610	unknown protein
A_84_P15788	AT4G38840	"auxin-responsive protein, putative"
A_84_P18161	AT1G49920	zinc finger protein-related
A_84_P513790	AT3G31910	similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT5G45570.1); similar to hypothetical protein 27.t00096 [Brassica oleracea] (GB:ABD65084.1); contains InterPro domain Region of unknown function DUF1985 (InterPro:IPR015410)
A_84_P551066	AT3G55080	SET domain-containing protein
A_84_P259500	AT2G17410	ARID/BRIGHT DNA-binding domain-containing protein
A_84_P855297	AT3G03100	NADH:ubiquinone oxidoreductase family protein
A_84_P837838	AT1G60390	"BURP domain-containing protein / polygalacturonase, putative"
A_84_P22547	AT5G45890	SAG12 (SENESCENCE-ASSOCIATED GENE 12); cysteine-type peptidase
A_84_P769101	AT5G47928	unknown protein
A_84_P768444	AT5G36490;AT5G36530;AT5G36480;AT5G36510;AT5G36657;AT5G36661;AT5G36440;AT5G36550;AT5G36390;AT5G36380;AT5G36410;AT5G36658;AT5G36460;AT5G36420;AT5G36370;AT5G36350;AT5G36450;AT5G36400;AT5G36470;AT5G36738;AT5G36500;AT5G36520;AT5G36540;AT5G36430;AT5G36360	"[AT5G36490, Encodes a ECA1 gametogenesis related family protein];[AT5G36530, Encodes a ECA1 gametogenesis related family protein [pseudogene]];[AT5G36480, Encodes a ECA1 gametogenesis related family protein];[AT5G36510, Encodes a ECA1 gametogenesis related family protein [pseudogene]];[AT5G36657, Encodes a ECA1 gametogenesis related family protein];[AT5G36661, Encodes a ECA1 gametogenesis related family protein];[AT5G36440, Encodes a ECA1 gametogenesis related family protein];[AT5G36550, Encodes a ECA1 gametogenesis related family protein];[AT5G36390, Encodes a ECA1 gametogenesis related family protein];[AT5G36380, Encodes a ECA1 gametogenesis related family protein];[AT5G36410, Encodes a ECA1 gametogenesis related family protein];[AT5G36658, Encodes a ECA1 gametogenesis related family protein];[AT5G36460, Encodes a ECA1 gametogenesis related family protein];[AT5G36420, Encodes a ECA1 gametogenesis related family protein];[AT5G36370, Encodes a ECA1 gametogenesis related family protein];[AT5G36350, Encodes a ECA1 gametogenesis related family protein];[AT5G36450, Encodes a ECA1 gametogenesis related family protein];[AT5G36400, Encodes a ECA1 gametogenesis related family protein];[AT5G36470, Encodes a ECA1 gametogenesis related family protein];[AT5G36738, Encodes a ECA1 gametogenesis related family protein];[AT5G36500, Encodes a ECA1 gametogenesis related family protein];[AT5G36520, Encodes a ECA1 gametogenesis related family protein];[AT5G36540, Encodes a ECA1 gametogenesis related family protein];[AT5G36430, Encodes a ECA1 gametogenesis related family protein];[AT5G36360, Encodes a ECA1 gametogenesis related family protein]"
A_84_P11287	AT5G15600	SP1L4 (SPIRAL1-LIKE4)
A_84_P12285	AT1G44000	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G11911.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN81476.1)
A_84_P701013	AT1G29200	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G62330.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48037.1); contains InterPro domain Protein of unknown function DUF246, plant (InterPro:IPR004348)"
A_84_P17153	AT1G68270	AMP-dependent synthetase and ligase family protein
A_84_P836619	AT4G02070	MSH6 (MUTS HOMOLOG 6-1)
A_84_P20866	AT1G04250	AXR3 (AUXIN RESISTANT 3); transcription factor
A_84_P758843	AT3G32043	transposable element gene
A_84_P19937	AT1G14160	integral membrane family protein
A_84_P757234	AT2G17723	Encodes a defensin-like (DEFL) family protein.
A_84_P826788	AT3G50910	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G66480.1); similar to hypothetical protein [Thellungiella halophila] (GB:ABB45854.1)
A_84_P17649	AT4G30720	oxidoreductase
A_84_P762863	AT3G03660	DNA binding / transcription factor
A_84_P751870	AT1G67010	"pseudogene, putative receptor serine/threonine kinase, blastp match of 59% identity and 3.8e-58 P-value to GP|21741394|emb|CAD39676.1||AL606993 OSJNBb0051N19.7 {Oryza sativa (japonica cultivar-group)}"
A_84_P97886	AT2G40130	heat shock protein-related
A_84_P20685	AT5G54100	band 7 family protein
A_84_P835313	AT2G33051	other RNA
A_84_P816758	AT5G09530	hydroxyproline-rich glycoprotein family protein
A_84_P812266	AT1G12780	UGE1 (UDP-D-GLUCOSE/UDP-D-GALACTOSE 4-EPIMERASE 1); UDP-glucose 4-epimerase/ protein dimerization
A_84_P12046	AT5G05780	"AE3/ATHMOV34 (ASYMMETRIC LEAVES ENHANCER 3, ASYMMETRIC LEAVES ENHANCER3)"
A_84_P600053	AT4G08200	transposable element gene
A_84_P14464	AT2G36200	kinesin motor protein-related
A_84_P840693	AT1G48170	similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABA95965.1); similar to hypothetical protein OsI_036449 [Oryza sativa (indica cultivar-group)] (GB:EAY82490.1); similar to Os12g0182800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066323.1)
A_84_P280280	AT3G46030	HTB11; DNA binding
A_84_P827270	AT2G40780	RNA binding / translation initiation factor
A_84_P14811	AT4G30680	MA3 domain-containing protein
A_84_P16225	AT1G71100	RSW10 (RADIAL SWELLING 10); ribose-5-phosphate isomerase
A_84_P816377	AT5G01350	similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ49682.1); similar to Os04g0508100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053268.1)
A_84_P142599	AT5G58650	PSY1 (PLANT PEPTIDE CONTAINING SULFATED TYROSINE 1)
A_84_P751801	AT1G52415	"similar to Expressed protein [Arabidopsis thaliana] (TAIR:AT4G28405.1); contains InterPro domain Bifunctional inhibitor/plant lipid transfer protein/seed storage (InterPro:IPR016140); contains InterPro domain Plant lipid transfer protein and hydrophobic protein, helical; (InterPro:IPR013770)"
A_84_P23821	AT1G78060	glycosyl hydrolase family 3 protein
A_84_P12089	AT5G22980	SCPL47 (serine carboxypeptidase-like 47); serine carboxypeptidase
A_84_P580471	AT4G20920	double-stranded RNA-binding domain (DsRBD)-containing protein
A_84_P606193	AT3G30770	ATP binding / aminoacyl-tRNA ligase/ nucleotide binding
A_84_P833901	AT1G16270	protein kinase family protein
A_84_P16899	AT5G53510	ATOPT9 (oligopeptide transporter 9); oligopeptide transporter
A_84_P16670	AT4G23660	ATPPT1 (ARABIDOPSIS THALIANA POLYPRENYLTRANSFERASE 1); 4-hydroxybenzoate nonaprenyltransferase
A_84_P11750	AT3G25810	"myrcene/ocimene synthase, putative"
A_84_P858176	AT3G53420	PIP2A (PLASMA MEMBRANE INTRINSIC PROTEIN 2A); water channel
A_84_P80039	AT4G04245	transposable element gene
A_84_P817305	AT3G03920	Gar1 RNA-binding region family protein
A_84_P13848	AT4G26770	"phosphatidate cytidylyltransferase, putative / CDP-diglyceride synthetase, putative"
A_84_P761012	AT3G08890	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G37070.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN63135.1); contains InterPro domain Protein of unknown function DUF538 (InterPro:IPR007493)
A_84_P10176	AT5G11580	UVB-resistance protein-related / regulator of chromosome condensation (RCC1) family protein
A_84_P573666	AT4G05630	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G12617.1)
A_84_P857872	AT3G24200	monooxygenase
A_84_P21924	AT1G78050	phosphoglycerate/bisphosphoglycerate mutase family protein
A_84_P571762	AT5G46130	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G46140.1); contains InterPro domain Protein of unknown function DUF295 (InterPro:IPR005174)
A_84_P260950	AT3G18770	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49590.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G49590.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO46479.1)
A_84_P219668	AT3G04640	glycine-rich protein
A_84_P784532	AT4G37120	SMP2 (swellmap 2)
A_84_P14698	AT3G61080	fructosamine kinase family protein
A_84_P731201	AT1G64270	transposable element gene
A_84_P18942	AT1G62290	aspartyl protease family protein
A_84_P815985	AT5G22500	"acyl CoA reductase, putative / male-sterility protein, putative"
A_84_P765593	AT4G27052	unknown pseudogene
A_84_P22173	AT3G31990	transposable element gene
A_84_P20280	AT3G26370	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G65470.1); similar to hypothetical protein OsJ_005296 [Oryza sativa (japonica cultivar-group)] (GB:EAZ21813.1); similar to hypothetical protein OsI_023381 [Oryza sativa (indica cultivar-group)] (GB:EAZ02149.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42502.1); contains InterPro domain Protein of unknown function DUF246, plant (InterPro:IPR004348)"
A_84_P846504	AT5G25820	exostosin family protein
A_84_P811313	AT1G09486	"pseudogene, 60S ribosomal protein L21 (RPL21B), temporary automated functional assignment; blastp match of 67% identity and 2.0e-52 P-value to GP|3885884|gb|AAC78102.1||AF093630 60S ribosomal protein L21 {Oryza sativa}"
A_84_P756985	AT2G04280;AT2G04270	"[AT2G04280, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G12700.1); similar to Os10g0456400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064754.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41132.1)];[AT2G04270, glycoside hydrolase starch-binding domain-containing protein]"
A_84_P21795	AT1G27490	similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT3G23260.1); contains InterPro domain F-box associated type 1 (InterPro:IPR006527)
A_84_P869142	AT1G18720	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G74440.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN69808.1); contains InterPro domain Protein of unknown function DUF962 (InterPro:IPR009305)
A_84_P271080	AT3G56600	inositol or phosphatidylinositol kinase
A_84_P23934	AT2G04520	"eukaryotic translation initiation factor 1A, putative / eIF-1A, putative / eIF-4C, putative"
A_84_P596656	AT5G16390	"BCCP/BCCP-1/BCCP1/CAC1-A/CAC1A (BIOTIN CARBOXYL CARRIER, BIOTIN CARBOXYL CARRIER PROTEIN 1); biotin binding"
A_84_P12287	AT1G01480	ACS2 (1-Amino-cyclopropane-1-carboxylate synthase 2)
A_84_P10559	AT1G01560	ATMPK11 (Arabidopsis thaliana MAP kinase 11); MAP kinase/ kinase
A_84_P841505	AT3G28350	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G28370.1); similar to hypothetical protein OsI_021564 [Oryza sativa (indica cultivar-group)] (GB:EAZ00332.1)
A_84_P146688	AT5G25340	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G32270.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO44248.1); contains domain G3DSA:3.10.20.90 (G3DSA:3.10.20.90); contains domain SSF54236 (SSF54236)
A_84_P731556	AT1G47240	NRAMP2 (NRAMP metal ion transporter 2); metal ion transmembrane transporter
A_84_P10583	AT1G76180	ERD14 (EARLY RESPONSE TO DEHYDRATION 14)
A_84_P594516	AT2G46740	FAD-binding domain-containing protein
A_84_P546516	AT3G02490	pentatricopeptide (PPR) repeat-containing protein
A_84_P153208	AT5G51220	ubiquinol-cytochrome C chaperone family protein
A_84_P819760	AT2G45810	"DEAD/DEAH box helicase, putative"
A_84_P15226	AT1G14910	epsin N-terminal homology (ENTH) domain-containing protein
A_84_P837931	AT3G13530	MAPKKK7 (MAP3K EPSILON PROTEIN KINASE); kinase
A_84_P838852	AT1G09330	"Identical to Uncharacterized FAM18-like protein At1g09330 [Arabidopsis Thaliana] (GB:Q8LEK2;GB:Q9ZPZ2); similar to unknown [Populus trichocarpa x Populus deltoides] (GB:ABK96699.1); contains InterPro domain Protein of unknown function DUF846, eukaryotic; (InterPro:IPR008564)"
A_84_P13371	AT1G21330	transposable element gene
A_84_P757994	AT2G18328	DNA binding
A_84_P587902	AT2G44700	kelch repeat-containing F-box family protein
A_84_P757222	AT2G16367	Encodes a defensin-like (DEFL) family protein.
A_84_P519533	AT3G62850	zinc finger protein-related
A_84_P14459	AT2G28030	aspartyl protease family protein
A_84_P22955	AT2G45490	ATAUR3 (ATAURORA3); ATP binding / histone serine kinase(H3-S10 specific) / protein kinase
A_84_P762759	AT3G55672	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G55665.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN83400.1); contains InterPro domain Plant self-incompatibility S1 (InterPro:IPR010264)
A_84_P819415	AT3G17120	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G01960.1); similar to hypothetical protein MtrDRAFT_AC173289g6v1 [Medicago truncatula] (GB:ABN09095.1)
A_84_P290414	AT4G39840	similar to unnamed protein product [Vitis vinifera] (GB:CAO21162.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48661.1)
A_84_P804142	AT1G17840	"ABCG11/COF1/DSO/WBC11 (DESPERADO); ATPase, coupled to transmembrane movement of substances"
A_84_P292924	AT3G05680	EMB2016 (EMBRYO DEFECTIVE 2016)
A_84_P11804	AT3G47170	transferase family protein
A_84_P589450	AT4G38120	binding
A_84_P575282	AT5G28800	unknown protein
A_84_P265650	AT1G47770	beta-galactosidase
A_84_P809476	AT4G00430	TMP-C (PLASMA MEMBRANE INTRINSIC PROTEIN 1;4); water channel
A_84_P817076	AT5G11280	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G80200.1); similar to unknown [Populus trichocarpa] (GB:ABK96125.1)
A_84_P845241	AT3G13610	"oxidoreductase, 2OG-Fe(II) oxygenase family protein"
A_84_P790858	AT5G52790	CBS domain-containing protein-related
A_84_P819358	AT3G04600	tRNA synthetase class I (W and Y) family protein
A_84_P162213	AT1G06630	F-box family protein
A_84_P521427	AT1G31620	unknown protein
A_84_P16083	AT1G55490	CPN60B (CHAPERONIN 60 BETA); ATP binding / protein binding / unfolded protein binding
