Array Element,Annotation
252652_at,ADT4 (AROGENATE DEHYDRATASE 4); arogenate dehydratase/ prephenate dehydratase
260837_at,fructose-1_6-bisphosphatase_ putative / D-fructose-1_6-bisphosphate 1-phosphohydrolase_ putative / FBPase_ putative
261997_at,transposable element gene
256706_at,similar to EDA30 (embryo sac development arrest 30) [Arabidopsis thaliana] (TAIR:AT3G03810.1); similar to Hypothetical plant protein [Medicago truncatula] (GB:ABN09047.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO49224.1); contains InterPro domain Protein of unknown function DUF246_ plant (InterPro:IPR004348)
248051_at,ATMYB103/ATMYB80/MS188/MYB103 (MYB DOMAIN PROTEIN 80); DNA binding / transcription factor
245877_at,GCN5-related N-acetyltransferase (GNAT) family protein
253715_at,40S ribosomal protein S30 (RPS30B)
251143_at,SQD2 (SULFOQUINOVOSYLDIACYLGLYCEROL 2); UDP-sulfoquinovose:DAG sulfoquinovosyltransferase/ transferase_ transferring glycosyl groups
255847_at,thioredoxin family protein
253798_at,ANAC073 (Arabidopsis NAC domain containing protein 73); transcription factor
252165_at,unknown protein
247700_at,RNA recognition motif (RRM)-containing protein
254366_s_at,[AT4G22040_ transposable element gene];[AT5G25045_ transposable element gene];[AT5G54203_ transposable element gene];[AT1G57640_ transposable element gene]
265035_at,protein binding / zinc ion binding
260059_at,ATTPPB (TREHALOSE-6-PHOSPHATE PHOSPHATASE)
262807_at,ankyrin repeat family protein
255472_at,pre-mRNA splicing factor_ putative / SR1 protein_ putative
245394_at,similar to unknown [Populus trichocarpa] (GB:ABK93272.1); contains domain PD104546 (PD104546)
249712_at,LSP1 (LOSS OF SUSCEPTIBILITY TO POTYVIRUSES); RNA binding / translation initiation factor
261690_at,aminotransferase class IV family protein
255195_at,transposable element gene
250793_at,oxidoreductase_ 2OG-Fe(II) oxygenase family protein
267468_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G01970.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21287.1)
247130_at,similar to NOL1/ NOP2/ Sun family protein [Arabidopsis thaliana] (TAIR:AT1G06560.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48200.1); contains InterPro domain Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/ Nop2p (InterPro:IPR001678)
256652_at,LPAT5; acyltransferase
261045_at,allergen V5/ Tpx-1-related family protein
250727_at,thioredoxin-related
266772_s_at,[AT4G16540_ heat shock protein-related];[AT2G03020_ heat shock protein-related]
258333_at,MFP1 (MAR BINDING FILAMENT-LIKE PROTEIN 1)
253640_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G57910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66657.1)
259066_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO67613.1); contains domain CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR (PTHR11203); contains domain UNCHARACTERIZED (PTHR11203:SF2)
251604_at,60S ribosomal protein L21 (RPL21F)_ pseudogene_ 60S RIBOSOMAL PROTEIN L21 - Arabidopsis thaliana_ SWISSPROT:RL21_ARATH; blastp match of 75% identity and 2.5e-15 P-value to GP|3885884|gb|AAC78102.1||AF093630 60S ribosomal protein L21 {Oryza sativa}
256748_x_at,transposable element gene
263855_at,nucleic acid binding
249921_at,nucleic acid binding
248606_at,[AT5G49450_ ATBZIP1 (ARABIDOPSIS THALIANA BASIC LEUCINE-ZIPPER 1); DNA binding / protein heterodimerization/ transcription factor];[AT5G49448_ CPuORF4 (Conserved peptide upstream open reading frame 4)]
261626_at,similar to chloroplast lumen common family protein [Arabidopsis thaliana] (TAIR:AT2G37400.1)
248291_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G45900.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48642.1); contains domain gb def: Emb|CAB82814.1 (PTHR21596:SF5); contains domain RIBONUCLEASE P PROTEIN SUBUNIT P38-RELATED (PTHR21596)
258302_at,transposable element gene
252535_at,unknown protein
266934_at,transducin family protein / WD-40 repeat family protein
255395_at,transposable element gene
245344_at,F-box family protein (FBL4)
254309_s_at,[AT4G22420_ Identical to Putative F-box protein At4g22420 [Arabidopsis Thaliana] (GB:Q9SUX7); similar to ubiquitin thiolesterase/ zinc ion binding [Arabidopsis thaliana] (TAIR:AT4G22285.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN83206.1); contains domain PTHR10420 (PTHR10420); contains domain PTHR10420:SF31 (PTHR10420:SF31)];[AT4G22390_ F-box family protein-related]
247539_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G02160.1)
246128_at,transposable element gene
262924_s_at,[AT1G19910_ AVA-P2 (vacuolar-H+-pumping ATPase 16 kDa proteolipid subunit 2); ATPase];[AT1G75630_ AVA-P4 (vacuolar H+-pumping ATPase 16 kDa proteolipid subunit 4); ATPase]
263071_at,transposable element gene
261085_at,IQD7 (IQ-domain 7); calmodulin binding
253420_at,ATP synthase family
251577_at,meprin and TRAF homology domain-containing protein / MATH domain-containing protein
260906_at,unknown protein
248573_at,AtGH9A1 (ARABIDOPSIS THALIANA GLYCOSYL HYDROLASE 9A1); hydrolase_ hydrolyzing O-glycosyl compounds
248700_at,ATGLR1.2 (Arabidopsis thaliana glutamate receptor 1.2)
259204_s_at,[AT3G09170_ transposable element gene];[AT1G34610_ transposable element gene]
245790_at,ATS1 (ACYLTRANSFERASE 1)
250490_at,pectinesterase family protein
257111_x_at,transposable element gene
261458_at,DNAJ heat shock N-terminal domain-containing protein
265767_at,REF4
261924_at,proton-dependent oligopeptide transport (POT) family protein
256204_at,POLGAMMA2 (polymerase gamma 2); DNA binding / DNA-directed DNA polymerase
265671_at,40S ribosomal protein S12 (RPS12C)
258522_at,PAPA-1-like family protein / zinc finger (HIT type) family protein
261385_at,protease inhibitor/ Seed storage/lipid transfer protein (LTP)-related
248176_at,Fh5 (FORMIN HOMOLOGY5); actin binding
253698_at,type I phosphodiesterase/ Nucleotide pyrophosphatase family protein
245709_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G10440.1); similar to hypothetical protein OsI_009118 [Oryza sativa (indica cultivar-group)] (GB:EAY87885.1); contains InterPro domain Shugoshin_ C-terminal; (InterPro:IPR011515)
252758_at,transposable element gene
249704_at,TT2 (TRANSPARENT TESTA 2); DNA binding / transcription factor
251300_at,serine protease inhibitor_ Kazal-type family protein
263865_at,ATPGP1 (ARABIDOPSIS THALIANA P GLYCOPROTEIN1); calmodulin binding
262725_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO43621.1); contains domain PTHR21290 (PTHR21290)
254755_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN75300.1)
262643_at,invertase/pectin methylesterase inhibitor family protein
245052_at,pectinesterase family protein
244970_at,encodes a chloroplast ribosomal protein L20_ a constituent of the large subunit of the ribosomal complex
250403_at,argininosuccinate lyase_ putative / arginosuccinase_ putative
263185_at,transport protein_ putative
251426_at,uridylate kinase_ putative / uridine monophosphate kinase_ putative / UMP kinase_ putative
261280_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G31600.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO64768.1)
250347_at,similar to hypothetical protein [Vitis vinifera] (GB:CAN81798.1); contains InterPro domain Protein of unknown function DUF6_ transmembrane; (InterPro:IPR000620)
256835_at,APS1 (ATP sulfurylase 3)
250144_at,universal stress protein (USP) family protein
255533_at,DC1 domain-containing protein
251389_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO24486.1)
252304_at,unknown protein
256164_at,terpene synthase/cyclase family protein
256343_at,radical SAM domain-containing protein / TRAM domain-containing protein
262685_at,nucleic acid binding
254317_at,unknown protein
249713_at,no_match
252743_at,ATMIN7 (ARABIDOPSIS THALIANA HOPM INTERACTOR 7); guanyl-nucleotide exchange factor/ protein binding
258363_at,ATPMEPCRC; pectinesterase
254972_at,dehydration-responsive family protein
260857_at,LYM1 (LYSM DOMAIN GPI-ANCHORED PROTEIN 1 PRECURSOR)
256129_at,calcium-binding protein_ putative
266717_at,unknown protein
251741_at,similar to hypothetical protein OsJ_018104 [Oryza sativa (japonica cultivar-group)] (GB:EAZ34621.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN60362.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41406.1); contains domain Nucleotide-diphospho-sugar transferases (SSF53448); contains domain no description (G3DSA:3.90.550.10)
247802_at,ATL63; protein binding / zinc ion binding
253741_at,protein binding / ubiquitin-protein ligase/ zinc ion binding
257083_s_at,[AT3G20600_ NDR1 (NON RACE-SPECIFIC DISEASE RESISTANCE 1); signal transducer];[AT3G20590_ non-race specific disease resistance protein_ putative]
253763_at,xyloglucan:xyloglucosyl transferase_ putative / xyloglucan endotransglycosylase_ putative / endo-xyloglucan transferase_ putative
253231_at,coatomer gamma-2 subunit_ putative / gamma-2 coat protein_ putative / gamma-2 COP_ putative
247869_at,ZFP2 (ZINC FINGER PROTEIN 2); nucleic acid binding / transcription factor/ zinc ion binding
264108_at,CALS5 (CALLOSE SYNTHASE 5); 1_3-beta-glucan synthase
251209_at,binding
AFFX-r2-At-Ubq-3_x_at,no_match
267126_s_at,[AT2G23600_ ACL (ACETONE-CYANOHYDRIN LYASE); hydrolase];[AT2G23590_ hydrolase_ alpha/beta fold family protein]
256537_at,epsin N-terminal homology (ENTH) domain-containing protein / clathrin assembly protein-related
252077_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G38370.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48842.1); contains InterPro domain Protein of unknown function DUF827_ plant (InterPro:IPR008545)
267287_at,SKS16 (SKU5 Similar 16); copper ion binding / pectinesterase
258583_at,AGL57; DNA binding / transcription factor
253433_s_at,[AT4G28365_ plastocyanin-like domain-containing protein];[AT4G32490_ plastocyanin-like domain-containing protein]
257547_at,transcription factor
249769_at,SIGE (RNA polymerase sigma subunit E); DNA binding / DNA-directed RNA polymerase/ sigma factor/ transcription factor
256178_s_at,[AT1G51760_ IAR3 (IAA-ALANINE RESISTANT 3); metallopeptidase];[AT1G51780_ ILL5 (IAA-leucine resistant (ILR)-like gene 5); metallopeptidase]
255698_at,scarecrow-like transcription factor 6 (SCL6)
259746_at,pentatricopeptide (PPR) repeat-containing protein
259318_at,HYP1 (HYPOTHETICAL PROTEIN 1)
247598_at,regulator of chromosome condensation (RCC1) family protein
266790_at,ATEXPA6 (ARABIDOPSIS THALIANA EXPANSIN A6)
264202_at,AP2 domain-containing transcription factor_ putative
262294_at,unknown protein
AFFX-r2-Bs-phe-3_at,no_match
257531_at,nuclear transport factor 2 (NTF2) family protein / RNA recognition motif (RRM)-containing protein
248650_at,beta-galactosidase
261047_at,APUM22 (ARABIDOPSIS PUMILIO 22); RNA binding / binding
251301_at,CYP78A9 (CYTOCHROME P450 78A9); oxygen binding
257990_at,basic helix-loop-helix (bHLH) family protein
257690_at,auxin-responsive family protein
253105_at,no_match
260118_s_at,[AT5G18700_ EMB3013 (EMBRYO DEFECTIVE 3013); kinase];[AT1G33940_ similar to EMB3013 (EMBRYO DEFECTIVE 3013)_ kinase [Arabidopsis thaliana] (TAIR:AT5G18700.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71033.1)]
256686_at,transposable element gene
257461_at,ATPUP15 (Arabidopsis thaliana purine permease 15); purine transmembrane transporter
266971_at,binding
264703_at,PP2A (SERINE/ THREONINE PROTEIN PHOSPHATASE 2A); protein serine/ Threonine phosphatase
265556_at,transposable element gene
259774_at,AWPM-19-like membrane family protein
249158_at,ETFBETA; electron carrier
256718_at,cytochrome-c oxidase
266004_at,ALS3 (ALUMINUM SENSITIVE 3)
263626_at,ZAP1 (WRKY FAMILY TRANSCRIPTION FACTOR 1); transcription activator/ transcription factor
252681_at,ANAC061 (Arabidopsis NAC domain containing protein 61); transcription factor
247356_at,BGAL6/MUM2 (MUCILAGE-MODIFIED 2); beta-galactosidase
245096_at,FL3-27; cysteine protease inhibitor
264914_at,clathrin adaptor complexes medium subunit family protein
257114_at,CYP705A23 (cytochrome P450_ family 705_ subfamily A_ polypeptide 23); oxygen binding
247140_at,kinectin-related
249583_at,TCH2 (TOUCH 2); calcium ion binding
246605_at,transposable element gene
265864_at,ATMAP70-3 (microtubule-associated proteins 70-3); microtubule binding
263741_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G29550.1); contains InterPro domain Protein of unknown function DUF626_ Arabidopsis thaliana (InterPro:IPR006462)
260986_at,ETHE1/GLX2-3/GLY3 (GLYOXALASE 2-3); hydroxyacylglutathione hydrolase
247082_at,ATGRIP/GRIP; protein binding
249943_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G44280.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO48686.1)
260481_at,ATFD1 (FERREDOXIN 1); 2 iron_ 2 sulfur cluster binding / electron carrier/ iron-sulfur cluster binding
259940_at,F-box family protein-related
264912_at,pseudogene_ aldo/keto reductase family_ contains Pfam profile PF00248: oxidoreductase_ aldo/keto reductase family; blastp match of 71% identity and 8.2e-127 P-value to GP|2606077|gb|AAB84222.1||AF030301 auxin-induced protein {Helianthus annuus}
251885_at,fructose-1_6-bisphosphatase_ putative / D-fructose-1_6-bisphosphate 1-phosphohydrolase_ putative / FBPase_ putative
266258_at,60S acidic ribosomal protein P2 (RPP2A)
250274_at,emsy N terminus domain-containing protein / ENT domain-containing protein
258487_at,LBD41 (LOB DOMAIN-CONTAINING PROTEIN 41)
256303_at,disease resistance protein (TIR-NBS class)_ putative
262158_at,protein kinase_ putative
244984_at,encodes a chloroplast ribosomal protein S3_ a constituent of the small subunit of the ribosomal complex
262827_at,CYP71B29 (cytochrome P450_ family 71_ subfamily B_ polypeptide 29); oxygen binding
260867_at,similar to hydroxyproline-rich glycoprotein family protein [Arabidopsis thaliana] (TAIR:AT5G48920.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN71192.1)
246768_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO17659.1); contains domain SSF53335 (SSF53335); contains domain PTHR23109 (PTHR23109)
263255_at,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G57940.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ67800.1); similar to predicted protein [Nematostella vectensis] (GB:XP_001641322.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71748.1); contains InterPro domain Protein of unknown function DUF699_ ATPase putative (InterPro:IPR007807); contains InterPro domain Region of unknown function DUF1726 (InterPro:IPR013562)
248465_at,similar to unnamed protein product [Vitis vinifera] (GB:CAO65658.1); similar to predicted protein [Physcomitrella patens subsp. patens] (GB:EDQ59031.1); similar to hypothetical protein OsI_006148 [Oryza sativa (indica cultivar-group)] (GB:EAY84915.1)
263169_at,phototropic-responsive NPH3 family protein
264813_at,CPK16 (calcium-dependent protein kinase 16); calmodulin-dependent protein kinase
264304_at,similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT1G16830.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41680.1)
248848_at,ATP binding / nucleoside-triphosphatase/ nucleotide binding / protein binding / transmembrane receptor
250765_at,guanylyl cyclase-related (GC1)
259477_at,small nuclear ribonucleoprotein_ putative / snRNP_ putative / Sm protein_ putative
257991_at,binding
255483_at,ATXT2; UDP-xylosyltransferase/ transferase/ transferase_ transferring glycosyl groups
252409_at,bundle-sheath defective protein 2 family / bsd2 family
259925_at,PR5 (PATHOGENESIS-RELATED GENE 5)
253357_at,dem protein-related / defective embryo and meristems protein-related
250021_at,protein kinase family protein
252637_at,HIRA (ARABIDOPSIS HOMOLOG OF HISTONE CHAPERONE HIRA); nucleotide binding / protein binding
261482_at,(TOM THREE HOMOLOG); virion binding
253138_at,MRPL11 (MITOCHONDRIAL RIBOSOMAL PROTEIN L11); structural constituent of ribosome
263013_at,KNAT6 (Knotted-like Arabidopsis thaliana 6); DNA binding / transcription factor
266114_at,no_match
257878_at,no_match
262366_at,disease resistance protein (TIR-NBS class)_ putative
264398_at,DNA-binding storekeeper protein-related
264505_at,integral membrane family protein / nodulin MtN21-related
245229_at,hydroxyproline-rich glycoprotein family protein
258936_s_at,transposable element gene
260255_at,ATP binding / protein kinase
256080_at,similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT1G20940.1); contains domain UNCHARACTERIZED (PTHR13711:SF8); contains domain SWI/ SNF-RELATED CHROMATIN BINDING PROTEIN (PTHR13711)
248092_at,SUM3 (SMALL UBIQUITIN-LIKE MODIFIER 3)
257587_at,3'-5' exonuclease domain-containing protein
265374_at,PSBX (photosystem II subunit X)
252436_x_at,[AT5G44415_ transposable element gene];[AT1G36080_ transposable element gene];[AT1G23930_ transposable element gene];[AT3G47330_ transposable element gene];[AT4G09370_ transposable element gene]
